Rank,Name,Active,Visits,Favourites,Likes,Dislikes,Rating
#1,Blox Fruits,"609,660","40,127,518,742","13,356,130","8,332,792","653,335",92.73
#2,Brookhaven 🏡RP,"546,496","54,569,495,338","21,943,439","6,020,356","938,856",86.51
#3,Dress To Impress ✨ [UPDATE],"416,220","3,097,987,877","2,753,018","1,700,804","153,773",91.71
#4,[UPDATE 0.5] Anime Vanguards,"265,006","332,177,194","496,224","1,351,837","43,042",96.91
#5,The Strongest Battlegrounds,"200,776","8,156,574,581","3,989,102","2,787,763","533,160",83.95
#6,Murder Mystery 2,"188,474","17,792,195,803","19,123,155","7,865,862","770,850",91.07
#7,[🧬UPDATE] Anime Defenders,"132,030","2,697,936,387","667,306","1,900,798","56,833",97.1
#8,🎟️Dandy's World [ALPHA],"102,196","244,021,931","269,385","147,155","12,206",92.34
#9,[💥DRILL EVENT] Toilet Tower Defense,"93,756","4,903,263,056","1,065,079","1,088,995","157,600",87.36
#10,Berry Avenue 🏠 RP,"84,265","4,316,507,601","2,260,729","660,763","96,629",87.24
#11,Adopt Me! ,"83,542","37,451,239,007","26,948,113","7,283,004","1,436,060",83.53
#12,RIVALS,"79,033","837,023,293","10,283,388","2,271,776","95,527",95.96
#13,[TEN SHADOWS] Jujutsu Shenanigans,"73,172","814,407,259","872,361","678,287","120,794",84.88
#14,[FLOOR 2] DOORS 👁️,"72,220","5,531,925,327","6,592,162","3,808,596","281,031",93.13
#15,Pet Simulator 99! 🌍,"69,497","1,480,369,895","1,445,939","2,540,447","103,076",96.1
#16,Evade,"62,239","5,030,871,686","5,232,062","2,050,995","120,892",94.43
#17,Bee Swarm Simulator,"57,370","2,947,507,130","5,943,065","2,303,719","123,102",94.93
#18,[UPD] Blade Ball,"51,930","4,372,228,342","9,796,578","6,389,968","436,952",93.6
#19, Sol's RNG [Era 9],"49,379","733,893,439","622,210","721,515","97,971",88.04
#20,LifeTogether 🏠 RP (UPDATE 29),"46,533","1,018,943,385","2,829,053","389,255","30,652",92.7
#21,Five Nights TD [SEASON] ,"45,146","282,065,942","208,344","171,589","13,618",92.65
#22,BedWars [🪂 ROYALE],"43,221","9,637,211,099","4,192,819","2,169,590","458,754",82.55
#23,[MASTERED ULT] Heroes Battlegrounds,"42,138","531,613,851","772,938","457,257","89,005",83.71
#24,[UPDATE 4] Meme Sea,"40,701","349,604,310","262,682","268,684","19,429",93.26
#25,[CLUB✨] Baddies 💅,"40,637","333,133,499","5,220,139","85,414","31,950",72.78
#26,[MYTHICAL WOLF] Fruit Battlegrounds,"39,929","574,892,825","749,392","765,353","98,566",88.59
#27,Catalog Avatar Creator,"38,436","2,757,565,122","3,366,332","1,349,905","121,202",91.76
#28,Welcome to Bloxburg,"35,741","8,938,868,570","13,537,152","5,287,851","713,999",88.1
#29,🥳Flee the Facility🏰,"34,903","4,569,045,868","8,898,692","2,318,440","199,860",92.06
#30,📜 Creatures of Sonaria 💚 Survive Kaiju Animals,"33,551","940,104,597","3,277,507","661,730","71,131",90.29
#31,Deepwoken [1B+ VISITS SALE],"27,812","1,003,653,322","763,353","322,962","43,455",88.14
#32,[FREE TEST] Sorcery,"26,186","3,706,360","55,149","15,256","4,317",77.94
#33,Build A Boat For Treasure,"25,954","4,043,473,788","7,605,187","3,028,238","225,395",93.07
#34,Metro Life 🏙️ City RP,"25,049","955,927,778","22,158,147","167,659","24,675",87.17
#35, Piggy [BUILD MODE UPDATE],"24,798","13,059,601,742","11,653,785","3,600,396","404,069",89.91
#36,[2X] NFL Universe Football,"24,699","272,455,289","393,573","189,539","21,720",89.72
#37,Racehaven 🏡RP 💎 FREE VIP,"24,680","9,507,937","669,525","2,942",778,79.09
#38,[MAJOR⚡UPDATE] Slap Battles👏,"24,045","2,319,670,254","2,173,386","1,412,939","239,722",85.49
#39,[x4 + Limited Extend] Anime Last Stand,"24,019","440,270,040","261,372","298,934","22,938",92.87
#40,Fling Things and People,"23,744","1,106,447,765","1,614,794","507,979","149,632",77.25
#41,[UPGRADE] BARRY'S PRISON RUN! (OBBY),"22,559","2,711,839,024","1,176,200","273,220","196,104",58.22
#42,3008 [2.73],"20,606","2,317,236,231","4,796,467","1,634,197","150,935",91.54
#43,[SOUL MANIPULATOR] Sorcerer Battlegrounds,"20,257","351,022,145","572,757","330,845","82,462",80.05
